file_path,emotion
(S01)\Preprocessed EEG Data\.csv format\S01G1AllChannels.csv,happy/excited
(S01)\Preprocessed EEG Data\.csv format\S01G2AllChannels.csv,happy/excited
(S01)\Preprocessed EEG Data\.csv format\S01G3AllChannels.csv,happy/excited
(S01)\Preprocessed EEG Data\.csv format\S01G4AllChannels.csv,happy/excited
(S02)\Preprocessed EEG Data\.csv format\S02G1AllChannels.csv,happy/excited
(S02)\Preprocessed EEG Data\.csv format\S02G2AllChannels.csv,happy/excited
(S02)\Preprocessed EEG Data\.csv format\S02G3AllChannels.csv,happy/excited
(S02)\Preprocessed EEG Data\.csv format\S02G4AllChannels.csv,happy/excited
(S03)\Preprocessed EEG Data\.csv format\S03G1AllChannels.csv,happy/excited
(S03)\Preprocessed EEG Data\.csv format\S03G2AllChannels.csv,happy/excited
(S03)\Preprocessed EEG Data\.csv format\S03G3AllChannels.csv,happy/excited
(S03)\Preprocessed EEG Data\.csv format\S03G4AllChannels.csv,happy/excited
(S04)\Preprocessed EEG Data\.csv format\S04G1AllChannels.csv,happy/excited
(S04)\Preprocessed EEG Data\.csv format\S04G2AllChannels.csv,angry/frustrated
(S04)\Preprocessed EEG Data\.csv format\S04G3AllChannels.csv,happy/excited
(S04)\Preprocessed EEG Data\.csv format\S04G4AllChannels.csv,angry/frustrated
(S05)\Preprocessed EEG Data\.csv format\S05G1AllChannels.csv,happy/excited
(S05)\Preprocessed EEG Data\.csv format\S05G2AllChannels.csv,happy/excited
(S05)\Preprocessed EEG Data\.csv format\S05G3AllChannels.csv,happy/excited
(S05)\Preprocessed EEG Data\.csv format\S05G4AllChannels.csv,happy/excited
(S06)\Preprocessed EEG Data\.csv format\S06G1AllChannels.csv,angry/frustrated
(S06)\Preprocessed EEG Data\.csv format\S06G2AllChannels.csv,angry/frustrated
(S06)\Preprocessed EEG Data\.csv format\S06G3AllChannels.csv,angry/frustrated
(S06)\Preprocessed EEG Data\.csv format\S06G4AllChannels.csv,angry/frustrated
(S07)\Preprocessed EEG Data\.csv format\S07G1AllChannels.csv,relaxed/content
(S07)\Preprocessed EEG Data\.csv format\S07G2AllChannels.csv,relaxed/content
(S07)\Preprocessed EEG Data\.csv format\S07G3AllChannels.csv,relaxed/content
(S07)\Preprocessed EEG Data\.csv format\S07G4AllChannels.csv,relaxed/content
(S08)\Preprocessed EEG Data\.csv format\S08G1AllChannels.csv,angry/frustrated
(S08)\Preprocessed EEG Data\.csv format\S08G2AllChannels.csv,angry/frustrated
(S08)\Preprocessed EEG Data\.csv format\S08G3AllChannels.csv,sad/depressed
(S08)\Preprocessed EEG Data\.csv format\S08G4AllChannels.csv,sad/depressed
(S09)\Preprocessed EEG Data\.csv format\S09G1AllChannels.csv,sad/depressed
(S09)\Preprocessed EEG Data\.csv format\S09G2AllChannels.csv,sad/depressed
(S09)\Preprocessed EEG Data\.csv format\S09G3AllChannels.csv,sad/depressed
(S09)\Preprocessed EEG Data\.csv format\S09G4AllChannels.csv,sad/depressed
(S10)\Preprocessed EEG Data\.csv format\S10G1AllChannels.csv,happy/excited
(S10)\Preprocessed EEG Data\.csv format\S10G2AllChannels.csv,angry/frustrated
(S10)\Preprocessed EEG Data\.csv format\S10G3AllChannels.csv,happy/excited
(S10)\Preprocessed EEG Data\.csv format\S10G4AllChannels.csv,happy/excited
(S11)\Preprocessed EEG Data\.csv format\S11G1AllChannels.csv,happy/excited
(S11)\Preprocessed EEG Data\.csv format\S11G2AllChannels.csv,happy/excited
(S11)\Preprocessed EEG Data\.csv format\S11G3AllChannels.csv,happy/excited
(S11)\Preprocessed EEG Data\.csv format\S11G4AllChannels.csv,angry/frustrated
(S12)\Preprocessed EEG Data\.csv format\S12G1AllChannels.csv,sad/depressed
(S12)\Preprocessed EEG Data\.csv format\S12G2AllChannels.csv,happy/excited
(S12)\Preprocessed EEG Data\.csv format\S12G3AllChannels.csv,happy/excited
(S12)\Preprocessed EEG Data\.csv format\S12G4AllChannels.csv,happy/excited
(S13)\Preprocessed EEG Data\.csv format\S13G1AllChannels.csv,happy/excited
(S13)\Preprocessed EEG Data\.csv format\S13G2AllChannels.csv,happy/excited
(S13)\Preprocessed EEG Data\.csv format\S13G3AllChannels.csv,happy/excited
(S13)\Preprocessed EEG Data\.csv format\S13G4AllChannels.csv,angry/frustrated
(S14)\Preprocessed EEG Data\.csv format\S14G1AllChannels.csv,happy/excited
(S14)\Preprocessed EEG Data\.csv format\S14G2AllChannels.csv,happy/excited
(S14)\Preprocessed EEG Data\.csv format\S14G3AllChannels.csv,happy/excited
(S14)\Preprocessed EEG Data\.csv format\S14G4AllChannels.csv,happy/excited
(S15)\Preprocessed EEG Data\.csv format\S15G1AllChannels.csv,happy/excited
(S15)\Preprocessed EEG Data\.csv format\S15G2AllChannels.csv,happy/excited
(S15)\Preprocessed EEG Data\.csv format\S15G3AllChannels.csv,happy/excited
(S15)\Preprocessed EEG Data\.csv format\S15G4AllChannels.csv,angry/frustrated
